id,date,time,topic,co2,humidity,temp
264601804,2024-12-10,19:15:54,/ttndata/eui-70b3d57ed0064636-co-15,1225,68,"21,2"
264599106,2024-12-10,19:10:49,/ttndata/eui-70b3d57ed0064636-co-15,1209,71,"19,7"
264596130,2024-12-10,19:05:43,/ttndata/eui-70b3d57ed0064636-co-15,1259,73,"18,5"
264593418,2024-12-10,19:00:37,/ttndata/eui-70b3d57ed0064636-co-15,1255,76,"17,4"
264590760,2024-12-10,18:55:30,/ttndata/eui-70b3d57ed0064636-co-15,1257,78,"15,9"
264587720,2024-12-10,18:50:24,/ttndata/eui-70b3d57ed0064636-co-15,1264,78,"14,3"
264584990,2024-12-10,18:45:18,/ttndata/eui-70b3d57ed0064636-co-15,1256,77,"13,3"
264582421,2024-12-10,18:40:12,/ttndata/eui-70b3d57ed0064636-co-15,1351,78,"12,8"
264579876,2024-12-10,18:35:06,/ttndata/eui-70b3d57ed0064636-co-15,1058,78,"11,4"
264577147,2024-12-10,18:30:00,/ttndata/eui-70b3d57ed0064636-co-15,1076,77,"9,9"
264574160,2024-12-10,18:24:54,/ttndata/eui-70b3d57ed0064636-co-15,1091,75,"8,9"
264571375,2024-12-10,18:19:47,/ttndata/eui-70b3d57ed0064636-co-15,1082,76,"8,5"
264568365,2024-12-10,18:14:41,/ttndata/eui-70b3d57ed0064636-co-15,1145,76,"7,4"
264565725,2024-12-10,18:09:35,/ttndata/eui-70b3d57ed0064636-co-15,1144,72,"5,5"
264562704,2024-12-10,18:04:29,/ttndata/eui-70b3d57ed0064636-co-15,1198,70,"4,9"
264559561,2024-12-10,17:59:23,/ttndata/eui-70b3d57ed0064636-co-15,1156,68,"3,6"
264556783,2024-12-10,17:54:17,/ttndata/eui-70b3d57ed0064636-co-15,1242,62,"2,3"
264553816,2024-12-10,17:49:11,/ttndata/eui-70b3d57ed0064636-co-15,1109,61,"2,4"
264551078,2024-12-10,17:44:04,/ttndata/eui-70b3d57ed0064636-co-15,1107,62,"2,4"
264548394,2024-12-10,17:38:58,/ttndata/eui-70b3d57ed0064636-co-15,1159,60,"2,2"
264545582,2024-12-10,17:33:52,/ttndata/eui-70b3d57ed0064636-co-15,1208,51,"5,8"
264543884,2024-12-10,17:31:10,/ttndata/eui-70b3d57ed0064636-co-15,1231,53,"6,0"
264540752,2024-12-10,17:25:29,/ttndata/eui-70b3d57ed0064636-co-15,1335,61,"2,1"
264537539,2024-12-10,17:20:23,/ttndata/eui-70b3d57ed0064636-co-15,1280,57,"1,6"
264534503,2024-12-10,17:15:17,/ttndata/eui-70b3d57ed0064636-co-15,1294,56,"2,0"
264528477,2024-12-10,17:05:04,/ttndata/eui-70b3d57ed0064636-co-15,1385,56,"3,0"
264525547,2024-12-10,16:59:58,/ttndata/eui-70b3d57ed0064636-co-15,1308,53,"3,3"
264522491,2024-12-10,16:54:52,/ttndata/eui-70b3d57ed0064636-co-15,1369,54,"5,0"
264519363,2024-12-10,16:49:46,/ttndata/eui-70b3d57ed0064636-co-15,1223,54,"6,0"
264516390,2024-12-10,16:44:40,/ttndata/eui-70b3d57ed0064636-co-15,1192,53,"5,3"
264513230,2024-12-10,16:39:34,/ttndata/eui-70b3d57ed0064636-co-15,1178,54,"4,6"
264510283,2024-12-10,16:34:27,/ttndata/eui-70b3d57ed0064636-co-15,1165,56,"6,8"
264507093,2024-12-10,16:29:21,/ttndata/eui-70b3d57ed0064636-co-15,1219,59,"9,2"
264504260,2024-12-10,16:24:16,/ttndata/eui-70b3d57ed0064636-co-15,1251,64,"10,7"
264501194,2024-12-10,16:19:11,/ttndata/eui-70b3d57ed0064636-co-15,1473,42,"8,0"
264487547,2024-12-10,15:56:51,/ttndata/eui-70b3d57ed0064636-co-15,1174,46,"10,4"
264484328,2024-12-10,15:51:45,/ttndata/eui-70b3d57ed0064636-co-15,1213,47,"13,6"
264481113,2024-12-10,15:46:39,/ttndata/eui-70b3d57ed0064636-co-15,1325,46,"15,9"
264478066,2024-12-10,15:41:33,/ttndata/eui-70b3d57ed0064636-co-15,1320,46,"17,5"
264474914,2024-12-10,15:36:28,/ttndata/eui-70b3d57ed0064636-co-15,1001,39,"17,9"
